Gmt time,Open,High,Low,Close,Volume
30.06.2019 21:00:00.000,1.13598,1.13713,1.13541,1.13542,21719.04
01.07.2019 01:00:00.000,1.13542,1.13567,1.13482,1.13487,29306.0098
01.07.2019 05:00:00.000,1.13487,1.13492,1.13167,1.13310,68706.6093
01.07.2019 09:00:00.000,1.13310,1.13604,1.13211,1.13461,74306.6201
01.07.2019 13:00:00.000,1.13462,1.13492,1.12924,1.12945,81965.8916
01.07.2019 17:00:00.000,1.12944,1.12955,1.12812,1.12858,35167.1306
01.07.2019 21:00:00.000,1.12859,1.12900,1.12805,1.12843,15806.029599999998
02.07.2019 01:00:00.000,1.12844,1.12900,1.12754,1.12899,26836.19
02.07.2019 05:00:00.000,1.12900,1.12996,1.12859,1.12937,47323.4605
02.07.2019 09:00:00.000,1.12937,1.13216,1.12897,1.12983,62657.3008
02.07.2019 13:00:00.000,1.12983,1.13121,1.12863,1.13068,72163.8896
02.07.2019 17:00:00.000,1.13068,1.13070,1.12824,1.12851,37891.5998
02.07.2019 21:00:00.000,1.12851,1.12946,1.12846,1.12934,18123.9703
03.07.2019 01:00:00.000,1.12933,1.12954,1.12863,1.12885,33571.9003
03.07.2019 05:00:00.000,1.12885,1.12906,1.12688,1.12886,54712.79150000001
03.07.2019 09:00:00.000,1.12884,1.13002,1.12769,1.12828,65044.9004
03.07.2019 13:00:00.000,1.12828,1.13125,1.12720,1.12816,78238.0195
03.07.2019 17:00:00.000,1.12817,1.12850,1.12758,1.12782,13135.780000000002
03.07.2019 21:00:00.000,1.12782,1.12893,1.12782,1.12870,10511.499899999999
04.07.2019 01:00:00.000,1.12870,1.12954,1.12820,1.12860,17195.4402
04.07.2019 05:00:00.000,1.12860,1.12900,1.12791,1.12800,32767.239500000003
04.07.2019 09:00:00.000,1.12800,1.12900,1.12776,1.12833,35615.0601
04.07.2019 13:00:00.000,1.12833,1.12848,1.12733,1.12814,34294.0996
04.07.2019 17:00:00.000,1.12814,1.12859,1.12814,1.12852,4671.5599999999995
04.07.2019 21:00:00.000,1.12851,1.12880,1.12799,1.12802,10687.1701
05.07.2019 01:00:00.000,1.12802,1.12847,1.12781,1.12812,16076.2801
05.07.2019 05:00:00.000,1.12810,1.12820,1.12615,1.12626,45738.5308
05.07.2019 09:00:00.000,1.12625,1.12706,1.12327,1.12443,73146.3184
05.07.2019 13:00:00.000,1.12442,1.12443,1.12075,1.12189,84585.26069999998
05.07.2019 17:00:00.000,1.12189,1.12285,1.12161,1.12274,29861.9497
05.07.2019 21:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 01:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 05:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 09:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 13:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 17:00:00.000,1.12274,1.12274,1.12274,1.12274,0
06.07.2019 21:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 01:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 05:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 09:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 13:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 17:00:00.000,1.12274,1.12274,1.12274,1.12274,0
07.07.2019 21:00:00.000,1.12296,1.12299,1.12199,1.12212,14865.5899
08.07.2019 01:00:00.000,1.12211,1.12313,1.12210,1.12313,24597.519999999997
08.07.2019 05:00:00.000,1.12313,1.12346,1.12198,1.12316,42692.4805
08.07.2019 09:00:00.000,1.12316,1.12329,1.12130,1.12233,56336.6601
08.07.2019 13:00:00.000,1.12233,1.12246,1.12071,1.12149,54686.4425
08.07.2019 17:00:00.000,1.12150,1.12210,1.12085,1.12146,20316.9702
08.07.2019 21:00:00.000,1.12146,1.12190,1.12131,1.12158,13482.0799
09.07.2019 01:00:00.000,1.12158,1.12184,1.12099,1.12179,19221.1099
09.07.2019 05:00:00.000,1.12178,1.12180,1.11963,1.11989,51092.348600000005
09.07.2019 09:00:00.000,1.11989,1.12096,1.11935,1.12047,52649.5596
09.07.2019 13:00:00.000,1.12049,1.12115,1.12000,1.12087,59058.461
09.07.2019 17:00:00.000,1.12088,1.12141,1.12035,1.12081,23681.2402
09.07.2019 21:00:00.000,1.12081,1.12092,1.12021,1.12037,10205.3401
10.07.2019 01:00:00.000,1.12037,1.12105,1.12026,1.12077,19703.9995
10.07.2019 05:00:00.000,1.12077,1.12272,1.12037,1.12255,54333.6293
10.07.2019 09:00:00.000,1.12256,1.12556,1.12123,1.12502,72903.8613
10.07.2019 13:00:00.000,1.12504,1.12645,1.12358,1.12594,92363.4706
10.07.2019 17:00:00.000,1.12594,1.12620,1.12504,1.12516,34324.1803
10.07.2019 21:00:00.000,1.12515,1.12654,1.12511,1.12613,16269.9997
11.07.2019 01:00:00.000,1.12614,1.12810,1.12581,1.12760,29638.5205
11.07.2019 05:00:00.000,1.12760,1.12792,1.12669,1.12738,44375.1494
11.07.2019 09:00:00.000,1.12738,1.12860,1.12626,1.12678,72594.6192
11.07.2019 13:00:00.000,1.12677,1.12728,1.12454,1.12547,72578.5615
11.07.2019 17:00:00.000,1.12549,1.12612,1.12459,1.12550,42415.820900000006
11.07.2019 21:00:00.000,1.12551,1.12604,1.12495,1.12587,18057.6999
12.07.2019 01:00:00.000,1.12588,1.12740,1.12580,1.12714,28575.6099
12.07.2019 05:00:00.000,1.12713,1.12751,1.12617,1.12624,51210.7011
12.07.2019 09:00:00.000,1.12625,1.12674,1.12384,1.12455,63613.1611
12.07.2019 13:00:00.000,1.12453,1.12681,1.12413,1.12679,68039.9198
12.07.2019 17:00:00.000,1.12679,1.12743,1.12638,1.12708,28963.5198
12.07.2019 21:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 01:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 05:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 09:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 13:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 17:00:00.000,1.12708,1.12708,1.12708,1.12708,0
13.07.2019 21:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 01:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 05:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 09:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 13:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 17:00:00.000,1.12708,1.12708,1.12708,1.12708,0
14.07.2019 21:00:00.000,1.12733,1.12748,1.12659,1.12742,11960.3102
15.07.2019 01:00:00.000,1.12742,1.12746,1.12643,1.12725,33056.73
15.07.2019 05:00:00.000,1.12725,1.12840,1.12700,1.12731,45299.489799999996
15.07.2019 09:00:00.000,1.12730,1.12841,1.12616,1.12659,46172.251
15.07.2019 13:00:00.000,1.12657,1.12714,1.12536,1.12594,54520.479999999996
